                                                movie        year  timeMin  imdb    metascore      votes us_grossMillions
19                                  Mystic River      (2003)  138 min   7.9  84            447,372          $90.14M
20                                      The Game      (1997)  129 min   7.8  61            381,687          $48.32M
21                                    Apocalypto      (2006)  139 min   7.8  68            306,517          $50.87M
22                            The Sound of Music      (1965)  172 min   8.1  63            224,523         $163.21M
23                                  Mary Poppins      (1964)  139 min   7.8  88            168,495         $102.27M
24                    E.T. the Extra-Terrestrial      (1982)  115 min   7.9  91            397,057         $435.11M
25                                    The Artist  (I) (2011)  100 min   7.9  89            239,157          $44.67M
26                                 Despicable Me      (2010)   95 min   7.6  72            530,839         $251.51M
27           The Curious Case of Benjamin Button      (2008)  166 min   7.8  70            632,177         $127.51M
28                                          Room  (I) (2015)  118 min   8.1  86            406,537          $14.68M
29                                     The Thing      (1982)  109 min   8.2  57            407,219          $13.78M
30           The Hobbit: The Desolation of Smaug      (2013)  161 min   7.8  66            640,184         $258.37M
31                                            Up      (2009)   96 min   8.3  88          1,008,549         $293.00M
32                                    Home Alone      (1990)  103 min   7.7  63            550,497         $285.76M
33                              Edge of Tomorrow      (2014)  113 min   7.9  71            652,568         $100.21M
34                                Ocean's Eleven      (2001)  116 min   7.7  74            555,446         $183.42M
35                                         Rocky      (1976)  120 min   8.1  70            557,093         $117.24M
36                    X-Men: Days of Future Past      (2014)  132 min   8.0  75            695,068         $233.92M
37                                    Your Name.      (2016)  106 min   8.4  79            246,428           $5.02M
38                             Shaun of the Dead      (2004)   99 min   7.9  76            543,982          $13.54M
39                                     Incendies      (2010)  131 min   8.3  80            170,785           $6.86M
40                                 All That Jazz      (1979)  123 min   7.8  72             31,122          $37.82M
41                                   Dark Waters      (2019)  126 min   7.6  73             82,995                -
42                                Monsters, Inc.      (2001)   92 min   8.1  79            878,400         $289.92M
43                               My Cousin Vinny      (1992)  120 min   7.6  68            120,808          $52.93M
44                               Midnight Cowboy      (1969)  113 min   7.8  79            109,145          $44.79M
45                                      Predator      (1987)  107 min   7.8  45            398,113          $59.74M
46                                     Airplane!      (1980)   88 min   7.7  78            232,069          $83.40M
47                                       Platoon      (1986)  120 min   8.1  92            404,918         $138.53M
48                          The Butterfly Effect      (2004)  113 min   7.6  30            478,538          $57.94M
49                               Children of Men      (2006)  109 min   7.9  84            490,423          $35.55M                                                                   movie        year  timeMin  imdb   metascore      votes us_grossMillions
0                                                       K.G.F: Chapter 1      (2018)  156 min   8.5           0     60,130                -
1                                                                 Amélie      (2001)  122 min   8.3  69            740,578          $33.23M
2                                                               3 Idiots      (2009)  170 min   8.5  67            383,189           $6.53M
3                                    Captain America: The Winter Soldier      (2014)  136 min   7.8  70            810,776         $259.77M
4                                                         The Lego Movie      (2014)  100 min   7.7  83            344,304         $257.76M
5                                              The Count of Monte Cristo      (2002)  131 min   7.7  61            135,985          $54.23M
6                                    Willy Wonka & the Chocolate Factory      (1971)  100 min   7.8  67            195,445           $4.00M
7   Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb      (1964)   95 min   8.4  97            478,207           $0.28M
8                                                          Blood Diamond      (2006)  143 min   8.0  64            534,722          $57.37M
9                                               Baahubali: The Beginning      (2015)  159 min   8.1           0    114,518           $6.74M
10                                                   Slumdog Millionaire      (2008)  120 min   8.0  84            831,244         $141.32M
11                                                              Magnolia      (1999)  188 min   8.0  77            306,846          $22.46M
12                                                     Empire of the Sun      (1987)  153 min   7.7  62            123,452          $22.24M
13                                                                   Saw      (2004)  103 min   7.6  46            408,654          $56.00M
14                                                            The Reader      (2008)  124 min   7.6  58            240,739          $34.19M
15                                                               Tangled      (2010)  100 min   7.8  71            437,878         $200.82M
16                                                  The Ten Commandments      (1956)  220 min   7.9           0     68,739          $93.74M
17                                              How to Train Your Dragon      (2010)   98 min   8.1  75            715,633         $217.58M
18                                                    Memories of Murder      (2003)  132 min   8.1  82            170,518           $0.01M
19                                                                WALL·E      (2008)   98 min   8.4  95          1,077,892         $223.81M
20                                                             Halloween      (1978)   91 min   7.7  87            264,615          $47.00M
21                                                             Chinatown      (1974)  130 min   8.2  92            318,193           $8.49M
22                                                   The Lives of Others      (2006)  137 min   8.4  89            381,776          $11.29M
23                                                       Sherlock Holmes      (2009)  128 min   7.6  57            617,670         $209.03M
